percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.590368884,72,3826,2017/06/30
0.590831919,78,3829,2017/06/30
0.593301435,82,3845,2017/06/30
0.59762309,83,3873,2017/06/30
0.601018676,64,3895,2017/06/30
0.6017904,64,3900,2017/06/30
0.602562124,65,3905,2017/06/30
0.606575089,59,3931,2017/06/30
0.608272882,58,3942,2017/06/30
0.608735916,54,3945,2017/06/30
0.609044606,56,3947,2017/06/30
0.610896743,60,3959,2017/06/30
0.619848742,82,4017,2017/06/30
0.62586819,85,4056,2017/06/30
0.626485569,83,4060,2017/06/30
0.630498534,72,4086,2017/06/30
0.630652879,73,4087,2017/06/30
0.631887637,74,4095,2017/06/30
0.634665843,62,4113,2017/06/30
0.636363636,69,4124,2017/06/30
0.638987498,54,4141,2017/06/30
0.642074394,61,4161,2017/06/30
0.643463497,63,4170,2017/06/30
0.645624325,66,4184,2017/06/30
0.647939497,67,4199,2017/06/30
0.648402531,57,4202,2017/06/30
0.650409014,57,4215,2017/06/30
0.652261151,65,4227,2017/06/30
0.652569841,67,4229,2017/06/30
0.653341565,67,4234,2017/06/30
0.653650255,64,4236,2017/06/30
0.656428461,63,4254,2017/06/30
0.657200185,63,4259,2017/06/30
0.657817564,62,4263,2017/06/30
0.659361013,66,4273,2017/06/30
0.660132737,66,4278,2017/06/30
0.660595771,61,4281,2017/06/30
0.66152184,70,4287,2017/06/30
0.661984874,72,4290,2017/06/30
0.663991357,77,4303,2017/06/30
0.666460874,84,4319,2017/06/30
0.667078253,76,4323,2017/06/30
0.667695632,72,4327,2017/06/30
0.669393425,68,4338,2017/06/30
0.674486804,67,4371,2017/06/30
0.6775737,62,4391,2017/06/30
0.678499768,59,4397,2017/06/30
0.682975768,55,4426,2017/06/30
0.683593147,71,4430,2017/06/30
0.688840871,73,4464,2017/06/30
0.68945825,74,4468,2017/06/30
0.693162525,95,4492,2017/06/30
0.695632042,86,4508,2017/06/30
0.696558111,85,4514,2017/06/30
0.699645007,89,4534,2017/06/30
0.70103411,86,4543,2017/06/30
0.703812317,62,4561,2017/06/30
